# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
 31000   -10.676  0.975  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 31200   -13.680  0.800  1.000e+00  1.000e+00    -0.014  9.999e-01  1.000e+00    -0.014
 31400   -12.056  0.900  9.999e-01  1.000e+00    -0.014  1.000e+00  1.000e+00    -0.014
 31600   -17.391  0.925  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 31800   -22.961  0.875  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 32000   -18.604  0.850  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 32200   -14.668  0.925  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 32400   -11.622  0.900  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 32600   -13.664  0.925  9.999e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 32800   -14.758  0.825  1.000e+00  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 33000   -13.890  0.975  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 33200   -14.103  0.825  9.996e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 33400   -22.664  0.925  9.997e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 33600   -17.100  0.975  1.000e+00  1.000e+00    -0.014  1.000e+00  1.000e+00    -0.014
 33800   -11.796  0.875  1.000e+00  1.000e+00    -0.013  9.995e-01  1.000e+00    -0.013
 34000   -10.202  0.950  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 34200   -14.523  0.950  1.000e+00  1.000e+00    -0.012  9.997e-01  1.000e+00    -0.012
 34400   -19.774  0.975  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 34600   -11.168  0.925  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 34800   -11.437  0.975  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 35000   -15.005  0.975  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 35200   -14.620  0.925  1.000e+00  1.000e+00    -0.011  9.998e-01  1.000e+00    -0.011
 35400   -12.761  0.925  9.998e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 35600    -9.006  0.975  9.999e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 35800   -13.338  0.900  1.000e+00  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 36000    -9.026  0.875  9.998e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 36200   -12.993  0.900  9.999e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 36400   -15.880  0.925  9.998e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 36600   -10.697  0.900  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 36800   -12.812  0.925  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 37000   -13.256  0.875  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 37200    -9.405  0.950  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 37400   -11.992  0.975  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 37600   -17.914  0.950  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 37800   -13.060  0.925  9.997e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 38000   -13.488  0.925  1.000e+00  1.000e+00    -0.012  9.999e-01  1.000e+00    -0.012
 38200    -9.577  0.900  1.000e+00  1.000e+00    -0.012  9.999e-01  1.000e+00    -0.012
 38400   -15.935  0.925  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 38600   -11.273  0.950  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 38800   -15.548  0.825  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 39000   -13.366  0.950  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 39200   -19.799  0.875  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 39400   -15.889  0.975  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 39600   -15.040  0.875  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 39800   -17.648  0.925  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 40000   -16.606  0.775  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 40200   -11.176  0.975  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 40400   -11.743  0.850  1.000e+00  1.000e+00    -0.013  9.999e-01  1.000e+00    -0.013
 40600   -12.731  0.950  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 40800   -10.930  0.975  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 41000   -11.886  0.975  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 41200    -6.890  1.000  1.000e+00  1.000e+00    -0.013  9.999e-01  1.000e+00    -0.013
 41400    -8.746  0.950  1.000e+00  1.000e+00    -0.013  9.999e-01  1.000e+00    -0.013
 41600   -10.594  0.850  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
