# Simulation Parameters
# Box dimensions: 3 x 12 x 3
# Temperature: 0.8
# Total steps: 10000
# Log interval: 100
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [10, 2000, 5000]
# Console freq: 50
# Trajectory freq/file: 100/data/vle-small_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
   100  -117.706  0.400  1.000e+00  1.025e+00   109.034  9.999e-01  9.811e-01    84.623
   200  -110.344  0.367  1.000e+00  1.012e+00    51.058  1.000e+00  9.913e-01    38.867
   300  -104.909  0.600  1.000e+00  1.008e+00    33.347  9.998e-01  9.943e-01    25.238
   400  -102.629  0.400  9.994e-01  1.006e+00    24.766  1.001e+00  9.958e-01    18.693
   500  -103.079  0.433  9.996e-01  1.004e+00    19.585  1.000e+00  9.967e-01    14.730
   600   -96.064  0.467  9.994e-01  1.004e+00    16.036  1.001e+00  9.973e-01    11.991
   700   -91.746  0.600  9.995e-01  1.003e+00    13.638  1.000e+00  9.977e-01    10.173
   800   -93.863  0.567  9.996e-01  1.003e+00    11.810  1.000e+00  9.980e-01     8.779
   900   -95.455  0.700  9.993e-01  1.002e+00    10.364  1.001e+00  9.983e-01     7.670
  1000   -82.506  0.733  9.994e-01  1.002e+00     9.303  1.001e+00  9.985e-01     6.879
  1100   -77.117  0.733  9.998e-01  1.002e+00     8.444  1.000e+00  9.986e-01     6.241
